Sl. No.,States/UTs,Schools with Girls' Toilet,Schools with functional Girls' Toilet
1,Andaman & Nicobar Islands,100,100
2,Andhra Pradesh,99.72,89.38
3,Arunachal Pradesh,95.6,94.62
4,Assam,97.24,94.72
5,Bihar,89.41,92.24
6,Chandigarh,100,100
7,Chhattisgarh,99.38,96.09
8,Dadra & Nagar Haveli,100,100
9,Daman & Diu,100,100
10,Delhi,100,100
11,Goa,100,100
12,Gujarat,99.95,99.96
13,Haryana,99.27,99.66
14,Himachal Pradesh,99.98,100
15,Jammu & Kashmir,96.33,97.73
16,Jharkhand,99.32,97.54
17,Karnataka,98.52,99.26
18,Kerala,99.48,99.42
19,Lakshadweep,100,100
20,Madhya Pradesh,96.07,94.59
21,Maharashtra,98.56,97.99
22,Manipur,99.49,86.19
23,Meghalaya,94.78,90.74
24,Mizoram,99.04,91.52
25,Nagaland,97.42,95.2
26,Odisha,99.27,95.63
27,Puducherry,100,100
28,Punjab,99.79,99.78
29,Rajasthan,99.18,98.56
30,Sikkim,99.49,98.73
31,Tamil Nadu,100,99.98
32,Telangana,97.98,98.23
33,Tripura,99.98,86.25
34,Uttar Pradesh,99.67,97.12
35,Uttarakhand,96.29,93.27
36,West Bengal,99.89,98.69
37,All States/UTs,98.07,96.54
