Indicator,S.No.,Parameters,Type,District - _Bihar - Total [(A+B) or (C+D)],District - _Bihar - Public [A],District - _Bihar - Private [B],District - _Bihar - Urban [C],District - _Bihar - Rural [D],District - Araria - Total [(A+B) or (C+D)],District - Araria - Public [A],District - Araria - Private [B],District - Araria - Urban [C],District - Araria - Rural [D],District - Arwal - Total [(A+B) or (C+D)],District - Arwal - Public [A],District - Arwal - Private [B],District - Arwal - Urban [C],District - Arwal - Rural [D],District - Aurangabad - Total [(A+B) or (C+D)],District - Aurangabad - Public [A],District - Aurangabad - Private [B],District - Aurangabad - Urban [C],District - Aurangabad - Rural [D],District - Banka - Total [(A+B) or (C+D)],District - Banka - Public [A],District - Banka - Private [B],District - Banka - Urban [C],District - Banka - Rural [D],District - Begusarai - Total [(A+B) or (C+D)],District - Begusarai - Public [A],District - Begusarai - Private [B],District - Begusarai - Urban [C],District - Begusarai - Rural [D],District - Bhagalpur - Total [(A+B) or (C+D)],District - Bhagalpur - Public [A],District - Bhagalpur - Private [B],District - Bhagalpur - Urban [C],District - Bhagalpur - Rural [D],District - Bhojpur - Total [(A+B) or (C+D)],District - Bhojpur - Public [A],District - Bhojpur - Private [B],District - Bhojpur - Urban [C],District - Bhojpur - Rural [D],District - Buxar - Total [(A+B) or (C+D)],District - Buxar - Public [A],District - Buxar - Private [B],District - Buxar - Urban [C],District - Buxar - Rural [D],District - Darbhanga - Total [(A+B) or (C+D)],District - Darbhanga - Public [A],District - Darbhanga - Private [B],District - Darbhanga - Urban [C],District - Darbhanga - Rural [D],District - East Champaran - Total [(A+B) or (C+D)],District - East Champaran - Public [A],District - East Champaran - Private [B],District - East Champaran - Urban [C],District - East Champaran - Rural [D],District - Gaya - Total [(A+B) or (C+D)],District - Gaya - Public [A],District - Gaya - Private [B],District - Gaya - Urban [C],District - Gaya - Rural [D],District - Gopalganj - Total [(A+B) or (C+D)],District - Gopalganj - Public [A],District - Gopalganj - Private [B],District - Gopalganj - Urban [C],District - Gopalganj - Rural [D],District - Jamui - Total [(A+B) or (C+D)],District - Jamui - Public [A],District - Jamui - Private [B],District - Jamui - Urban [C],District - Jamui - Rural [D],District - Jehanabad - Total [(A+B) or (C+D)],District - Jehanabad - Public [A],District - Jehanabad - Private [B],District - Jehanabad - Urban [C],District - Jehanabad - Rural [D],District - Kaimur Bhabua - Total [(A+B) or (C+D)],District - Kaimur Bhabua - Public [A],District - Kaimur Bhabua - Private [B],District - Kaimur Bhabua - Urban [C],District - Kaimur Bhabua - Rural [D],District - Katihar - Total [(A+B) or (C+D)],District - Katihar - Public [A],District - Katihar - Private [B],District - Katihar - Urban [C],District - Katihar - Rural [D],District - Khagaria - Total [(A+B) or (C+D)],District - Khagaria - Public [A],District - Khagaria - Private [B],District - Khagaria - Urban [C],District - Khagaria - Rural [D],District - Kishanganj - Total [(A+B) or (C+D)],District - Kishanganj - Public [A],District - Kishanganj - Private [B],District - Kishanganj - Urban [C],District - Kishanganj - Rural [D],District - Lakhisarai - Total [(A+B) or (C+D)],District - Lakhisarai - Public [A],District - Lakhisarai - Private [B],District - Lakhisarai - Urban [C],District - Lakhisarai - Rural [D],District - Madhepura - Total [(A+B) or (C+D)],District - Madhepura - Public [A],District - Madhepura - Private [B],District - Madhepura - Urban [C],District - Madhepura - Rural [D],District - Madhubani - Total [(A+B) or (C+D)],District - Madhubani - Public [A],District - Madhubani - Private [B],District - Madhubani - Urban [C],District - Madhubani - Rural [D],District - Munger - Total [(A+B) or (C+D)],District - Munger - Public [A],District - Munger - Private [B],District - Munger - Urban [C],District - Munger - Rural [D],District - Muzaffarpur - Total [(A+B) or (C+D)],District - Muzaffarpur - Public [A],District - Muzaffarpur - Private [B],District - Muzaffarpur - Urban [C],District - Muzaffarpur - Rural [D],District - Nalanda - Total [(A+B) or (C+D)],District - Nalanda - Public [A],District - Nalanda - Private [B],District - Nalanda - Urban [C],District - Nalanda - Rural [D],District - Nawada - Total [(A+B) or (C+D)],District - Nawada - Public [A],District - Nawada - Private [B],District - Nawada - Urban [C],District - Nawada - Rural [D],District - Patna - Total [(A+B) or (C+D)],District - Patna - Public [A],District - Patna - Private [B],District - Patna - Urban [C],District - Patna - Rural [D],District - Purnia - Total [(A+B) or (C+D)],District - Purnia - Public [A],District - Purnia - Private [B],District - Purnia - Urban [C],District - Purnia - Rural [D],District - Rohtas - Total [(A+B) or (C+D)],District - Rohtas - Public [A],District - Rohtas - Private [B],District - Rohtas - Urban [C],District - Rohtas - Rural [D],District - Saharsa - Total [(A+B) or (C+D)],District - Saharsa - Public [A],District - Saharsa - Private [B],District - Saharsa - Urban [C],District - Saharsa - Rural [D],District - Samastipur - Total [(A+B) or (C+D)],District - Samastipur - Public [A],District - Samastipur - Private [B],District - Samastipur - Urban [C],District - Samastipur - Rural [D],District - Saran - Total [(A+B) or (C+D)],District - Saran - Public [A],District - Saran - Private [B],District - Saran - Urban [C],District - Saran - Rural [D],District - Sheikhpura - Total [(A+B) or (C+D)],District - Sheikhpura - Public [A],District - Sheikhpura - Private [B],District - Sheikhpura - Urban [C],District - Sheikhpura - Rural [D],District - Sheohar - Total [(A+B) or (C+D)],District - Sheohar - Public [A],District - Sheohar - Private [B],District - Sheohar - Urban [C],District - Sheohar - Rural [D],District - Sitamarhi - Total [(A+B) or (C+D)],District - Sitamarhi - Public [A],District - Sitamarhi - Private [B],District - Sitamarhi - Urban [C],District - Sitamarhi - Rural [D],District - Siwan - Total [(A+B) or (C+D)],District - Siwan - Public [A],District - Siwan - Private [B],District - Siwan - Urban [C],District - Siwan - Rural [D],District - Supaul - Total [(A+B) or (C+D)],District - Supaul - Public [A],District - Supaul - Private [B],District - Supaul - Urban [C],District - Supaul - Rural [D],District - Vaishali - Total [(A+B) or (C+D)],District - Vaishali - Public [A],District - Vaishali - Private [B],District - Vaishali - Urban [C],District - Vaishali - Rural [D],District - West Champaran - Total [(A+B) or (C+D)],District - West Champaran - Public [A],District - West Champaran - Private [B],District - West Champaran - Urban [C],District - West Champaran - Rural [D]
M1 [Ante Natal Care (ANC)],'1.1',Total number of pregnant women registered for ANC,TOTAL,2333275,2328106,5169,263613,2069662,82737,82737,NA,10465,72272,11308,11308,0,NA,11308,59273,59273,NA,12085,47188,39770,39642,128,133,39637,73946,73946,0,21838,52108,59846,59846,NA,7835,52011,41547,41547,NA,3900,37647,33668,33668,NA,7120,26548,99842,99842,NA,14806,85036,117070,117070,NA,846,116224,92427,92427,NA,4432,87995,54551,54551,0,3405,51146,40616,40616,0,1661,38955,19319,19319,NA,431,18888,32607,32607,NA,4557,28050,76927,76500,427,5128,71799,39936,39936,NA,NA,39936,47563,45480,2083,NA,47563,19614,19614,NA,6520,13094,49245,49245,0,3920,45325,95280,95280,0,5725,89555,20529,20529,NA,5071,15458,104579,104579,NA,5630,98949,62613,62613,0,8215,54398,45475,45475,0,5039,40436,119367,116836,2531,48504,70863,84019,84019,NA,7262,76757,60361,60361,NA,13649,46712,46996,46996,NA,5138,41858,94899,94899,NA,5290,89609,83069,83069,0,4173,78896,13559,13559,0,2261,11298,13795,13795,NA,NA,13795,79423,79423,NA,6569,72854,74227,74227,NA,6821,67406,54667,54667,0,7873,46794,81265,81265,NA,1654,79611,107340,107340,NA,15657,91683
M1 [Ante Natal Care (ANC)],'1.1.1',"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",TOTAL,1577638,1574358,3280,170197,1407441,42873,42873,NA,4176,38697,8270,8270,NA,NA,8270,43126,43126,NA,7089,36037,28248,28193,55,88,28160,57206,57206,0,18083,39123,34365,34365,NA,4851,29514,29833,29833,NA,2659,27174,23874,23874,NA,4640,19234,56735,56735,NA,7348,49387,61281,61281,NA,278,61003,62369,62369,NA,2635,59734,40205,40205,0,2752,37453,26125,26125,0,631,25494,12144,12144,NA,144,12000,26195,26195,NA,3548,22647,58456,57501,955,3229,55227,34269,34269,NA,NA,34269,29311,27451,1860,NA,29311,18322,18322,NA,6499,11823,42683,42683,0,3199,39484,60183,60183,0,4568,55615,16901,16901,NA,3966,12935,61286,61286,NA,3636,57650,40824,40824,NA,5562,35262,28391,28391,0,2767,25624,84370,83960,410,31898,52472,61731,61731,NA,6130,55601,48919,48919,NA,8607,40312,28539,28539,NA,1943,26596,73881,73881,NA,3752,70129,56065,56065,0,1837,54228,9604,9604,0,1554,8050,9796,9796,NA,NA,9796,55457,55457,NA,4175,51282,52348,52348,NA,3262,49086,39917,39917,0,6517,33400,55148,55148,NA,1270,53878,58388,58388,NA,6904,51484
M1 [Ante Natal Care (ANC)],'1.2.1',Number of PW given TT1,TOTAL,1231778,1226371,5407,134386,1097392,42423,42423,NA,4906,37517,6320,6320,NA,NA,6320,26210,26210,NA,4955,21255,23730,23602,128,84,23646,35177,35177,0,12898,22279,31813,31813,NA,4163,27650,23856,23856,NA,2049,21807,16957,16957,NA,3860,13097,45189,45189,NA,5300,39889,59625,59625,NA,580,59045,50223,50223,NA,835,49388,37099,37099,0,2651,34448,22475,22475,0,678,21797,10976,10976,NA,109,10867,17483,17483,NA,2373,15110,44540,44540,NA,3017,41523,21116,21116,NA,NA,21116,24643,22956,1687,NA,24643,11736,11736,NA,3914,7822,25810,25810,0,2468,23342,53799,53799,0,3741,50058,11142,11142,NA,2566,8576,47899,46096,1803,2964,44935,29891,29891,NA,4458,25433,27089,27089,0,2731,24358,54412,52623,1789,23739,30673,46942,46942,NA,3904,43038,35849,35849,NA,7853,27996,20426,20426,NA,2017,18409,45762,45762,NA,2453,43309,44397,44397,0,2166,42231,8363,8363,0,1237,7126,9677,9677,NA,NA,9677,46781,46781,NA,3769,43012,58288,58288,NA,4583,53705,26731,26731,0,3613,23118,41541,41541,NA,950,40591,45388,45388,NA,6802,38586
M1 [Ante Natal Care (ANC)],'1.2.2',Number of PW given TT2,TOTAL,1115280,1111384,3896,120668,994612,37120,37120,NA,4281,32839,6381,6381,NA,NA,6381,23211,23211,NA,4130,19081,22081,21953,128,96,21985,31165,31165,0,10124,21041,31159,31159,NA,4037,27122,21177,21177,NA,1962,19215,16224,16224,NA,3669,12555,40853,40853,NA,4733,36120,53168,53168,NA,597,52571,45491,45491,NA,629,44862,33518,33518,0,2640,30878,21512,21512,0,608,20904,11359,11359,NA,80,11279,15890,15890,NA,2177,13713,39195,39195,NA,2518,36677,21678,21678,NA,NA,21678,21137,19661,1476,NA,21137,12894,12894,NA,4057,8837,24170,24170,0,2328,21842,45860,45860,0,2342,43518,10718,10718,NA,2418,8300,44064,42224,1840,2732,41332,29422,29422,NA,4723,24699,25038,25038,0,2212,22826,47746,47294,452,21597,26149,41912,41912,NA,3456,38456,33025,33025,NA,7458,25567,18585,18585,NA,2192,16393,41845,41845,NA,2446,39399,40474,40474,0,2129,38345,8417,8417,NA,1282,7135,7838,7838,NA,NA,7838,38261,38261,NA,3017,35244,52387,52387,NA,4496,47891,23381,23381,0,3542,19839,36833,36833,NA,967,35866,40091,40091,NA,4993,35098
M1 [Ante Natal Care (ANC)],'1.2.3',Number of PW given TT Booster,TOTAL,812787,810693,2094,96041,716746,30185,30185,NA,3784,26401,4957,4957,NA,NA,4957,19662,19662,NA,3416,16246,13665,13665,NA,17,13648,29378,29378,0,9507,19871,20464,20464,NA,2931,17533,15957,15957,NA,1842,14115,12082,12082,NA,2819,9263,29063,29063,NA,4077,24986,35842,35842,NA,359,35483,31365,31365,NA,502,30863,12447,12447,0,433,12014,11520,11520,0,354,11166,6245,6245,NA,44,6201,14435,14435,NA,2171,12264,28320,28320,NA,2105,26215,18849,18849,NA,NA,18849,15602,15602,0,NA,15602,7635,7635,NA,2606,5029,23548,23548,0,1451,22097,30653,30653,0,1984,28669,8783,8783,NA,2093,6690,34317,33121,1196,2161,32156,25008,25008,NA,3677,21331,17136,17136,0,2259,14877,40985,40087,898,18437,22548,36225,36225,NA,3048,33177,23378,23378,NA,5297,18081,22058,22058,NA,2420,19638,31495,31495,NA,1857,29638,25343,25343,0,1647,23696,4817,4817,NA,1023,3794,5435,5435,NA,NA,5435,26172,26172,NA,2300,23872,11466,11466,NA,350,11116,27134,27134,0,4260,22874,27224,27224,NA,699,26525,33937,33937,NA,4111,29826
M1 [Ante Natal Care (ANC)],'1.2.4',Number of PW given 180 Iron Folic Acid (IFA) tablets,TOTAL,1769391,1764899,4492,210379,1559012,73000,73000,NA,10254,62746,8865,8865,NA,NA,8865,50633,50633,NA,9514,41119,30939,30939,NA,0,30939,71722,71722,0,20943,50779,44796,44796,NA,5105,39691,30458,30458,NA,2911,27547,26774,26774,NA,5178,21596,80922,80922,NA,12957,67965,64501,64501,NA,490,64011,67794,67794,NA,3471,64323,43104,43104,0,2643,40461,25195,25195,0,746,24449,14428,14428,NA,203,14225,26773,26773,NA,2906,23867,64427,64427,NA,3984,60443,28560,28560,NA,NA,28560,30126,25634,4492,NA,30126,19176,19176,NA,6520,12656,39326,39326,0,2969,36357,55412,55412,0,3739,51673,17398,17398,NA,3980,13418,71064,71064,NA,3767,67297,39483,39483,NA,4980,34503,34923,34923,0,3942,30981,84661,84661,NA,42717,41944,74007,74007,NA,7018,66989,54535,54535,NA,11205,43330,29453,29453,NA,2038,27415,89637,89637,NA,4870,84767,58958,58958,0,1912,57046,11450,11450,NA,1786,9664,10737,10737,NA,NA,10737,56508,56508,NA,3147,53361,62665,62665,NA,5209,57456,48815,48815,0,7653,41162,64158,64158,NA,1504,62654,64008,64008,NA,10118,53890
M1 [Ante Natal Care (ANC)],'1.2.5',Number of PW given 360 Calcium tablets,TOTAL,1219594,1215102,4492,160167,1059427,63438,63438,NA,9759,53679,8628,8628,NA,NA,8628,49651,49651,NA,9504,40147,22565,22565,NA,0,22565,68695,68695,0,20953,47742,24444,24444,NA,2709,21735,8904,8904,NA,141,8763,9248,9248,NA,2509,6739,53012,53012,NA,9122,43890,42094,42094,NA,489,41605,60482,60482,NA,3374,57108,38764,38764,0,1819,36945,20700,20700,0,774,19926,13692,13692,NA,194,13498,17742,17742,NA,2660,15082,56272,56272,NA,3498,52774,3457,3457,NA,NA,3457,21427,16935,4492,NA,21427,15032,15032,NA,6517,8515,36128,36128,0,2629,33499,40410,40410,0,3739,36671,5299,5299,NA,253,5046,53867,53867,NA,1344,52523,32368,32368,NA,4584,27784,34923,34923,0,3942,30981,66345,66345,NA,29728,36617,62021,62021,NA,6330,55691,43810,43810,NA,9924,33886,7808,7808,NA,934,6874,34137,34137,NA,43,34094,37024,37024,0,1031,35993,4668,4668,NA,668,4000,2622,2622,NA,NA,2622,51855,51855,NA,2633,49222,18739,18739,NA,1543,17196,21338,21338,0,7606,13732,25269,25269,NA,0,25269,42716,42716,NA,9214,33502
M1 [Ante Natal Care (ANC)],'1.2.6',Number of PW given one Albendazole tablet after 1st trimester,TOTAL,620887,620887,0,59059,561828,22153,22153,NA,1207,20946,5542,5542,NA,NA,5542,16336,16336,NA,1104,15232,19333,19333,NA,0,19333,20513,20513,0,7006,13507,20259,20259,NA,2558,17701,8719,8719,NA,341,8378,8249,8249,NA,373,7876,8310,8310,NA,893,7417,18829,18829,NA,164,18665,29017,29017,NA,271,28746,14222,14222,0,157,14065,13891,13891,0,262,13629,9194,9194,NA,166,9028,5565,5565,NA,116,5449,29090,29090,NA,1968,27122,12566,12566,NA,NA,12566,15936,15936,0,NA,15936,11014,11014,NA,3833,7181,27443,27443,0,1153,26290,29573,29573,0,3306,26267,3726,3726,NA,934,2792,19084,19084,NA,1293,17791,20184,20184,NA,3242,16942,12897,12897,0,21,12876,30889,30889,NA,9779,21110,51379,51379,NA,5194,46185,34394,34394,NA,5072,29322,11697,11697,NA,625,11072,9601,9601,NA,1325,8276,4553,4553,0,405,4148,7053,7053,NA,1206,5847,996,996,NA,NA,996,14481,14481,NA,769,13712,5614,5614,NA,408,5206,19576,19576,0,3441,16135,22765,22765,NA,270,22495,6244,6244,NA,197,6047
M1 [Ante Natal Care (ANC)],'1.2.7',Number of PW received 4 or more ANC check ups,TOTAL,1593700,1590628,3072,161038,1432662,56884,56884,NA,6893,49991,7404,7404,NA,NA,7404,37901,37901,NA,6887,31014,30524,30524,NA,134,30390,65055,65055,0,18718,46337,31079,31079,NA,3912,27167,32039,32039,NA,2447,29592,26947,26947,NA,5022,21925,52197,52197,NA,6511,45686,60473,60473,NA,274,60199,59785,59785,NA,316,59469,39901,39901,0,2689,37212,25554,25554,0,569,24985,17748,17748,NA,105,17643,29814,29814,NA,2971,26843,56280,56280,NA,3434,52846,34555,34555,NA,NA,34555,27954,27954,0,NA,27954,18522,18522,NA,6140,12382,38658,38658,0,2689,35969,49866,49866,0,3717,46149,21622,21622,NA,4704,16918,69609,69609,NA,3716,65893,46576,46576,NA,5819,40757,23783,23783,0,1551,22232,65035,61963,3072,25657,39378,62665,62665,NA,5434,57231,46968,46968,NA,9501,37467,23372,23372,NA,1561,21811,68400,68400,NA,3712,64688,74528,74528,0,2468,72060,13617,13617,NA,1694,11923,9099,9099,NA,NA,9099,54363,54363,NA,4908,49455,56845,56845,NA,4688,52157,35003,35003,0,5648,29355,63382,63382,NA,1544,61838,59693,59693,NA,5005,54688
M1 [Ante Natal Care (ANC)],'1.2.8',Number of PW given ANC Corticosteroids in Pre Term Labour,TOTAL,10007,10007,0,434,9573,120,120,NA,0,120,36,36,NA,NA,36,211,211,NA,9,202,18,18,NA,0,18,64,64,0,5,59,282,282,NA,105,177,192,192,NA,0,192,2860,2860,NA,22,2838,84,84,NA,4,80,242,242,NA,0,242,265,265,NA,0,265,171,171,0,0,171,39,39,0,0,39,91,91,NA,0,91,253,253,NA,7,246,227,227,NA,8,219,41,41,NA,NA,41,40,40,0,NA,40,36,36,NA,5,31,464,464,0,27,437,123,123,0,0,123,48,48,NA,3,45,230,230,NA,0,230,112,112,NA,0,112,224,224,0,0,224,107,107,NA,79,28,852,852,NA,0,852,53,53,NA,0,53,949,949,NA,67,882,43,43,NA,0,43,133,133,0,21,112,0,0,NA,0,0,37,37,NA,NA,37,481,481,NA,63,418,102,102,NA,0,102,414,414,0,0,414,4,4,NA,NA,4,359,359,NA,9,350
